date,open,high,low,close,volume,average,barCount
2012-08-27,283.6,284.96,281.12,284.88,7157.0,283.088,15623
2012-08-28,285.84,287.2,284.16,286.32,6226.0,285.992,13934
2012-08-29,285.92,286.0,282.16,283.04,7383.0,283.932,15277
2012-08-30,283.28,283.6,279.76,282.08,6085.0,281.488,14625
2012-08-31,286.96,288.64,282.64,287.12,9564.0,285.932,18433
2012-09-04,287.68,287.84,282.8,284.08,7686.0,284.448,16521
2012-09-05,283.76,284.72,280.72,284.56,8145.0,283.2,17612
2012-09-06,287.92,290.88,281.84,281.84,14739.0,286.132,33328
2012-09-07,283.76,288.0,280.08,287.04,12061.0,284.708,27742
2012-09-10,285.12,287.76,284.32,286.8,5040.0,286.156,10793
2012-09-11,288.8,289.6,287.6,288.88,4826.0,288.736,13778
2012-09-12,289.36,290.24,287.76,288.32,6467.0,288.776,15596
2012-09-13,292.56,292.88,287.28,292.08,11155.0,291.188,29099
2012-09-14,295.68,297.36,293.2,294.72,8693.0,295.372,18547
2012-09-17,294.96,296.16,281.84,286.0,30076.0,287.468,63858
2012-09-18,286.24,287.52,283.12,284.56,9576.0,285.232,19694
2012-09-19,279.6,279.68,271.68,272.88,25529.0,274.908,50292
2012-09-20,272.64,276.08,272.0,276.08,9905.0,274.04,21188
2012-09-21,276.96,277.92,274.8,276.08,7609.0,276.18,15741
2012-09-24,272.08,273.2,270.16,272.72,6178.0,271.88,14112
2012-09-25,274.48,276.0,270.0,270.0,6643.0,272.508,14742
2012-09-26,268.0,268.08,263.84,266.72,13400.0,265.976,24154
2012-09-27,270.64,274.0,269.44,273.28,8899.0,271.804,17157
2012-09-28,272.88,274.24,271.28,273.04,5316.0,272.624,11306
2012-10-01,275.6,276.8,273.2,274.0,6405.0,274.744,14886
2012-10-02,274.8,275.04,271.92,272.16,5241.0,273.496,10201
2012-10-03,268.56,268.72,260.16,260.88,19325.0,263.844,33281
2012-10-04,263.92,272.32,263.04,271.6,14117.0,268.408,25732
2012-10-05,269.6,269.6,264.0,266.8,8546.0,266.72,17311
2012-10-08,264.88,266.48,264.08,265.76,4112.0,265.212,9947
2012-10-09,267.6,275.44,267.52,273.44,15539.0,272.18,28905
2012-10-10,274.0,277.6,269.84,270.72,10064.0,273.092,21541
2012-10-11,274.16,275.52,271.52,274.32,8861.0,273.68,18996
2012-10-12,273.28,274.72,270.32,272.0,5687.0,272.536,15367
2012-10-15,268.96,272.96,266.4,272.0,12541.0,269.004,24711
2012-10-16,271.52,273.6,271.2,273.12,7186.0,272.484,14324
2012-10-17,274.24,275.36,271.52,272.8,5933.0,273.28,11987
2012-10-18,270.0,274.48,269.12,272.56,9630.0,271.816,18877
2012-10-19,275.6,275.68,266.16,266.72,14292.0,269.44,28826
2012-10-22,266.48,267.36,261.44,263.2,15695.0,264.508,27922
2012-10-23,257.12,257.2,252.96,255.76,16342.0,255.108,32295
2012-10-24,255.04,255.68,250.8,253.04,15925.0,253.088,30642
2012-10-25,255.2,255.52,251.6,254.24,9944.0,253.68,18714
2012-10-26,253.2,254.88,252.48,254.32,9444.0,253.696,15707
2012-10-31,254.48,257.36,253.6,254.24,6173.0,254.888,14104
2012-11-01,254.8,258.0,254.16,256.48,8467.0,256.58,19086
2012-11-02,255.6,255.68,249.84,250.8,8980.0,251.74,21023
2012-11-05,251.04,253.44,250.32,252.88,8358.0,251.616,17207
2012-11-06,255.44,263.04,254.0,260.48,11818.0,259.712,24528
2012-11-07,255.84,256.08,248.0,249.68,15422.0,251.068,34272
2012-11-08,250.4,252.24,248.64,250.4,8984.0,250.5,18619
2012-11-09,250.48,255.92,250.24,253.84,8202.0,253.068,18549
2012-11-12,253.84,255.28,251.68,252.72,5733.0,253.196,13594
2012-11-13,250.48,253.52,250.16,251.28,7320.0,251.684,14515
2012-11-14,252.16,255.36,251.12,254.16,14459.0,253.908,25452
2012-11-15,255.52,255.92,249.6,251.92,14483.0,252.54,25404
2012-11-16,254.56,256.4,253.04,255.36,11730.0,254.812,20276
2012-11-19,260.16,263.44,260.0,261.36,10239.0,261.6,19004
2012-11-20,259.28,260.24,252.72,255.6,20526.0,255.876,30512
2012-11-21,256.0,257.36,253.44,256.96,10493.0,255.48,17280
2012-11-23,256.8,259.6,256.8,258.56,2513.0,258.7,6603
2012-11-26,256.48,257.92,256.0,257.52,3358.0,256.912,8673
2012-11-27,256.88,257.84,254.64,255.84,5508.0,256.348,10261
2012-11-28,250.96,254.4,250.32,254.32,7549.0,252.008,13675
2012-11-29,259.2,260.08,256.88,257.36,6483.0,258.552,13959
2012-11-30,258.96,260.96,258.64,260.48,4403.0,259.8,9611
2012-12-03,264.32,264.88,260.24,260.8,5915.0,262.388,10902
2012-12-04,257.84,260.56,257.28,259.2,3603.0,259.248,7430
2012-12-05,259.2,259.68,256.48,257.76,5743.0,258.184,10619
2012-12-06,253.92,254.64,251.28,253.36,7413.0,252.724,15609
2012-12-07,253.44,254.0,251.6,252.24,4042.0,252.512,9388
2012-12-10,253.2,253.92,250.08,251.04,3732.0,252.272,7061
2012-12-11,251.36,251.92,249.76,251.76,5116.0,251.104,8604
2012-12-12,254.8,256.88,252.32,254.24,7119.0,254.632,14776
2012-12-13,252.96,254.88,251.52,252.64,3075.0,253.152,7278
2012-12-14,253.2,254.56,252.4,254.48,2823.0,253.696,6137
2012-12-17,254.8,256.8,254.64,256.08,3292.0,255.96,7681
2012-12-18,256.8,258.16,255.36,257.44,4141.0,257.22,9475
2012-12-19,258.08,263.04,257.68,261.36,6467.0,261.044,12921
2012-12-20,261.04,263.6,260.48,261.84,3637.0,261.908,8322
2012-12-21,257.28,258.88,256.16,258.88,6795.0,257.728,13302
2012-12-24,257.52,258.0,256.88,257.92,1826.0,257.64,3111
2012-12-26,264.4,265.84,263.36,265.12,6359.0,264.724,12554
2012-12-27,265.36,265.76,262.16,265.52,4555.0,264.5,9377
2012-12-28,265.44,266.08,263.04,264.32,4796.0,264.644,8926
2012-12-31,263.2,267.76,263.12,266.88,5514.0,266.192,11112
2013-01-02,272.32,272.72,269.6,270.48,6185.0,271.208,11919
2013-01-03,270.8,271.6,269.6,269.92,4549.0,270.576,9847
2013-01-04,269.6,271.12,268.56,271.04,6752.0,270.264,11764
2013-01-07,269.92,271.76,269.76,271.36,3228.0,270.928,6498
2013-01-08,272.08,272.24,269.84,271.68,4050.0,271.088,8298
2013-01-09,271.6,272.56,269.92,271.04,3046.0,271.236,6567
2013-01-10,274.24,274.56,272.48,273.36,3729.0,273.688,8350
2013-01-11,270.96,272.88,269.6,272.48,3523.0,271.556,6434
2013-01-14,272.96,274.48,270.64,274.24,3454.0,272.656,7120
2013-01-15,274.0,274.16,271.36,271.92,3210.0,272.66,6748
2013-01-16,272.32,274.64,271.68,274.24,4969.0,273.568,8675
2013-01-17,277.6,279.52,276.8,277.36,7689.0,277.94,13879
2013-01-18,277.6,278.48,276.32,278.16,4183.0,277.604,7483
2013-01-22,278.56,280.72,278.0,280.08,4810.0,279.508,8292
2013-01-23,279.36,280.08,275.04,276.88,7123.0,277.584,10696
2013-01-24,278.4,280.0,277.52,278.08,5588.0,278.408,9258
2013-01-25,278.96,279.36,276.32,278.24,4545.0,277.86,7040
2013-01-28,279.68,279.92,276.56,279.52,4248.0,278.74,8480
2013-01-29,281.44,283.28,280.48,282.32,6497.0,281.932,12744
2013-01-30,283.36,284.24,281.92,283.92,6278.0,283.176,10244
2013-01-31,281.28,282.8,280.96,282.24,5289.0,281.864,10674
2013-02-01,280.16,284.16,279.52,282.72,6068.0,281.908,8742
2013-02-04,279.12,280.56,277.68,278.24,5743.0,279.024,9372
2013-02-05,280.4,281.12,279.6,280.24,3725.0,280.308,6476
2013-02-06,276.4,280.8,276.08,280.32,5060.0,278.596,9714
2013-02-07,280.8,281.2,276.72,277.44,4167.0,278.26,9210
2013-02-08,279.04,279.6,276.0,277.6,3621.0,278.0,7603
2013-02-11,276.4,281.12,275.52,280.96,5603.0,279.272,13025
2013-02-12,282.08,283.12,281.36,282.24,2957.0,282.292,7786
2013-02-13,283.44,283.92,279.92,281.52,6155.0,281.9,10196
2013-02-14,282.16,283.04,281.28,282.16,2326.0,282.184,5145
2013-02-15,277.52,278.0,275.84,277.76,8349.0,276.98,14826
2013-02-19,277.28,279.76,276.56,279.68,4215.0,277.984,9505
2013-02-20,279.84,280.32,271.36,273.36,14061.0,273.88,26286
2013-02-21,268.0,269.52,266.8,267.44,8911.0,267.76,18756
2013-02-22,267.52,269.04,266.4,268.8,5193.0,267.688,10429
2013-02-25,269.6,270.0,265.36,265.68,5248.0,267.76,12050
2013-02-26,267.6,268.96,265.44,266.64,7718.0,266.788,16248
2013-02-27,266.0,268.8,265.68,267.2,5803.0,267.228,10955
2013-02-28,267.12,268.0,263.68,264.48,6405.0,265.972,14394
2013-03-01,261.28,262.24,259.28,261.92,5811.0,261.08,15100
2013-03-04,260.8,260.88,257.28,259.2,7301.0,258.824,14250
2013-03-05,260.32,261.92,259.2,261.52,4814.0,260.652,9511
2013-03-06,260.72,260.72,257.84,260.32,5410.0,259.268,11191
2013-03-07,262.08,264.0,261.68,263.52,6755.0,262.856,12136
2013-03-08,262.96,264.8,261.92,264.4,3556.0,263.376,10080
2013-03-11,262.88,265.2,261.6,264.32,2355.0,263.212,5815
2013-03-12,267.68,268.8,265.76,266.08,4034.0,267.416,9861
2013-03-13,268.0,268.56,264.24,265.52,3998.0,266.504,9585
2013-03-14,266.08,267.84,265.84,267.36,2518.0,267.056,5806
2013-03-15,268.88,269.2,267.36,268.8,2875.0,268.636,6609
2013-03-18,264.32,270.0,264.0,269.2,3961.0,267.556,9402
2013-03-19,269.52,269.84,264.4,264.56,7945.0,266.384,19651
2013-03-20,267.44,268.0,264.8,267.44,4897.0,266.704,12183
2013-03-21,265.84,267.44,262.96,264.4,4997.0,265.096,12582
2013-03-22,266.48,268.88,264.96,268.88,3500.0,267.152,9409
2013-03-25,271.12,273.84,269.2,270.8,7395.0,271.296,15880
2013-03-26,273.92,276.08,272.64,275.6,7708.0,274.492,18542
2013-03-27,274.16,277.2,273.68,276.4,5364.0,275.26,13410
2013-03-28,276.72,278.72,276.24,278.08,4158.0,277.308,10941
2013-04-01,275.44,277.92,274.56,277.44,4188.0,275.964,9391
2013-04-02,275.2,278.88,275.04,277.2,5275.0,276.848,10460
2013-04-03,277.04,277.28,269.6,270.08,10355.0,272.26,21956
2013-04-04,265.84,268.88,263.76,267.12,9347.0,266.216,21809
2013-04-05,264.64,266.48,263.36,266.24,7012.0,264.9,14664
2013-04-08,266.48,268.0,264.72,267.92,3582.0,266.536,9573
2013-04-09,266.64,270.4,265.84,269.12,4360.0,268.948,12443
2013-04-10,268.32,271.36,267.68,270.64,4693.0,269.344,10552
2013-04-11,269.68,270.16,266.32,267.68,4962.0,267.68,11450
2013-04-12,261.92,262.88,258.48,260.24,11644.0,260.68,24136
2013-04-15,255.52,256.16,251.52,251.92,12368.0,253.58,25534
2013-04-16,252.88,254.56,250.72,254.08,6874.0,252.536,14247
2013-04-17,251.28,251.68,246.32,248.08,11781.0,248.916,25105
2013-04-18,249.52,253.12,246.96,253.12,10655.0,250.32,24004
2013-04-19,251.44,252.64,250.4,251.12,4896.0,251.696,11121
2013-04-22,252.96,255.2,250.08,254.56,6620.0,252.888,14620
2013-04-23,252.16,254.96,251.36,254.88,4905.0,253.284,11312
2013-04-24,256.16,261.36,255.92,261.28,7821.0,258.98,14935
2013-04-25,260.48,267.6,260.0,266.0,9625.0,264.636,18523
2013-04-26,265.68,266.32,262.56,264.88,7469.0,264.704,14581
2013-04-29,266.64,270.0,265.68,268.88,5951.0,268.144,10946
2013-04-30,269.12,269.12,264.96,265.28,6027.0,266.636,13114
2013-05-01,258.96,260.48,256.96,259.12,11430.0,258.804,21836
2013-05-02,260.72,268.64,260.4,267.92,9260.0,265.372,17957
2013-05-03,271.12,273.76,270.4,272.08,10979.0,272.368,20330
2013-05-06,271.68,274.4,270.4,273.12,5545.0,272.84,13876
2013-05-07,272.96,274.4,270.64,272.08,5997.0,272.38,12055
2013-05-08,273.6,275.76,272.96,275.2,5920.0,274.416,11602
2013-05-09,273.68,274.96,271.92,273.36,3335.0,273.388,6979
2013-05-10,268.72,274.24,266.24,273.12,8746.0,269.616,16240
2013-05-13,271.28,272.64,269.28,270.88,5006.0,270.992,8917
2013-05-14,270.24,271.44,267.6,268.48,5551.0,269.5,10163
2013-05-15,264.8,269.12,262.72,268.88,11964.0,266.044,17883
2013-05-16,269.44,272.48,268.16,270.96,5675.0,270.748,9658
2013-05-17,273.84,274.32,270.88,273.68,6410.0,273.196,10395
2013-05-20,272.64,276.72,272.16,275.44,4508.0,275.004,10226
2013-05-21,275.04,275.6,272.08,272.88,5363.0,273.852,10141
2013-05-22,270.24,272.8,267.2,267.68,12910.0,269.416,20789
2013-05-23,263.28,268.4,262.08,268.32,10678.0,265.34,17582
2013-05-24,265.36,267.92,264.64,266.96,4991.0,266.112,9910
2013-05-28,272.08,272.32,269.68,270.32,4459.0,270.996,8663
2013-05-29,269.6,270.56,263.84,264.8,10698.0,266.12,17414
2013-05-30,262.0,267.12,260.88,266.0,10615.0,263.836,17205
2013-05-31,263.28,264.88,260.24,260.88,7406.0,262.84,16756
2013-06-03,263.44,266.24,262.32,265.28,5741.0,264.612,11948
2013-06-04,264.0,268.32,262.48,265.6,4413.0,265.284,10663
2013-06-05,267.2,268.4,265.92,266.08,5323.0,266.932,10944
2013-06-06,268.4,270.88,268.16,268.96,6407.0,269.528,10024
2013-06-07,267.2,273.92,266.4,273.28,7326.0,272.092,13716
2013-06-10,271.28,272.72,270.48,272.0,2853.0,271.872,5637
2013-06-11,268.32,271.28,268.0,270.32,5037.0,269.524,8570
2013-06-12,272.8,273.92,271.28,272.24,6495.0,272.572,10377
2013-06-13,271.28,275.28,271.2,274.64,3088.0,273.128,6586
2013-06-14,278.08,278.72,277.04,277.92,7040.0,277.828,10446
2013-06-17,278.88,279.52,276.8,278.08,4275.0,278.428,8341
2013-06-18,278.8,280.16,277.68,279.68,2380.0,279.052,4689
2013-06-19,279.68,280.4,277.04,278.24,4285.0,278.916,7534
2013-06-20,271.84,272.24,268.16,268.8,10699.0,270.36,19659
2013-06-21,269.04,269.52,263.84,266.0,12372.0,265.852,20727
2013-06-24,264.4,270.88,264.0,269.12,7625.0,266.888,14284
2013-06-25,271.36,271.6,268.4,269.92,5428.0,270.036,8983
2013-06-26,270.56,271.12,265.44,270.4,5505.0,268.556,10012
2013-06-27,272.0,276.0,271.36,274.64,8228.0,274.384,13525
2013-06-28,275.44,276.64,272.96,273.2,5603.0,274.896,10978
2013-07-01,276.88,278.4,275.68,277.36,5242.0,277.272,10755
2013-07-02,279.2,282.88,278.88,281.68,9142.0,281.104,15055
2013-07-03,287.44,289.44,284.8,286.8,13520.0,287.552,19743
2013-07-05,288.4,292.72,287.52,292.48,8336.0,290.804,15318
2013-07-08,290.32,293.36,289.76,291.28,4828.0,291.392,10031
2013-07-09,291.12,294.4,290.64,294.16,5728.0,292.668,10389
2013-07-10,298.0,301.12,296.56,299.44,12964.0,298.748,20603
2013-07-11,298.72,298.8,295.04,296.08,9767.0,296.852,15581
2013-07-12,298.4,300.8,296.88,300.48,6539.0,299.096,10927
2013-07-15,298.96,302.08,298.88,301.36,4954.0,300.436,9197
2013-07-16,302.16,302.4,299.76,299.84,3867.0,300.616,7108
2013-07-17,300.64,302.72,299.84,302.4,3924.0,301.18,6561
2013-07-18,303.44,307.68,303.44,306.72,5782.0,305.996,11466
2013-07-19,308.88,308.96,304.08,307.6,6636.0,306.512,12447
2013-07-22,306.56,307.04,302.88,303.36,7198.0,304.78,14344
2013-07-23,301.92,305.52,301.76,304.72,5257.0,304.2,12149
2013-07-24,302.88,304.08,298.0,299.2,7289.0,300.528,15689
2013-07-25,299.36,301.04,296.0,300.64,5907.0,298.952,10949
2013-07-26,299.04,299.12,295.52,297.68,3736.0,297.32,8104
2013-07-29,298.4,299.04,296.0,297.04,3212.0,297.476,6877
2013-07-30,295.2,295.28,292.0,293.36,6026.0,293.448,11772
2013-07-31,293.68,299.36,292.8,298.88,6882.0,296.748,14303
2013-08-01,304.8,307.28,304.48,306.16,10270.0,306.044,15256
2013-08-02,304.56,304.96,302.72,303.52,5210.0,303.684,9001
